membership_number,order_number,status,total_amount,currency,ordered_at,paid_at,completed_at,metadata_json
M2025017,O2025017,paid,79.00,CNY,2026-01-19T08:45:00+08:00,2026-01-19T08:46:00+08:00,,"{""product_name"":""清洁套装"",""returnable"":true,""shipping_status"":""awaiting_dispatch""}"
M2025018,O2025018,completed,569.00,CNY,2026-01-11T09:25:00+08:00,2026-01-11T09:27:00+08:00,2026-01-14T12:10:00+08:00,"{""product_name"":""办公椅坐垫"",""received_at"":""2026-01-14T12:10:00+08:00"",""returnable"":true}"
M2025019,O2025019,cancelled,299.00,CNY,2026-01-12T11:35:00+08:00,2026-01-12T11:36:00+08:00,,"{""product_name"":""移动电源"",""returnable"":true,""cancellation_reason"":""user_changed_mind""}"
M2025020,O2025020,paid,199.00,CNY,2026-01-19T14:20:00+08:00,2026-01-19T14:21:00+08:00,,"{""product_name"":""收纳箱"",""returnable"":true,""shipping_status"":""awaiting_dispatch""}"
M2025001,O2025021,completed,269.00,CNY,2025-12-10T10:00:00+08:00,2025-12-10T10:01:00+08:00,2025-12-14T15:30:00+08:00,"{""product_name"":""运动水壶"",""received_at"":""2025-12-14T15:30:00+08:00"",""returnable"":true}"
M2025002,O2025022,completed,799.00,CNY,2025-12-12T11:20:00+08:00,2025-12-12T11:21:00+08:00,2025-12-16T13:45:00+08:00,"{""product_name"":""智能音箱"",""received_at"":""2025-12-16T13:45:00+08:00"",""returnable"":true}"
M2025003,O2025023,completed,179.00,CNY,2025-12-15T09:40:00+08:00,2025-12-15T09:41:00+08:00,2025-12-19T10:20:00+08:00,"{""product_name"":""键盘腕托"",""received_at"":""2025-12-19T10:20:00+08:00"",""returnable"":true}"
M2025004,O2025024,completed,1588.00,CNY,2025-12-18T14:00:00+08:00,2025-12-18T14:02:00+08:00,2025-12-22T11:30:00+08:00,"{""product_name"":""投影仪"",""received_at"":""2025-12-22T11:30:00+08:00"",""returnable"":true}"
M2025005,O2025025,completed,139.00,CNY,2025-12-21T16:30:00+08:00,2025-12-21T16:31:00+08:00,2025-12-25T14:10:00+08:00,"{""product_name"":""笔记本支架"",""received_at"":""2025-12-25T14:10:00+08:00"",""returnable"":true}"
M2025006,O2025026,completed,249.00,CNY,2025-12-24T10:10:00+08:00,2025-12-24T10:11:00+08:00,2025-12-28T09:45:00+08:00,"{""product_name"":""香薰机"",""received_at"":""2025-12-28T09:45:00+08:00"",""returnable"":true}"
M2025007,O2025027,completed,389.00,CNY,2025-12-26T15:20:00+08:00,2025-12-26T15:21:00+08:00,2025-12-30T17:10:00+08:00,"{""product_name"":""路由器"",""received_at"":""2025-12-30T17:10:00+08:00"",""returnable"":true}"
M2025008,O2025028,completed,999.00,CNY,2025-12-28T09:15:00+08:00,2025-12-28T09:17:00+08:00,2026-01-02T16:25:00+08:00,"{""product_name"":""行李箱"",""received_at"":""2026-01-02T16:25:00+08:00"",""returnable"":true}"
M2025009,O2025029,completed,159.00,CNY,2025-12-30T11:50:00+08:00,2025-12-30T11:51:00+08:00,2026-01-04T13:30:00+08:00,"{""product_name"":""鼠标垫"",""received_at"":""2026-01-04T13:30:00+08:00"",""returnable"":true}"
M2025010,O2025030,completed,429.00,CNY,2025-12-31T13:10:00+08:00,2025-12-31T13:11:00+08:00,2026-01-05T15:50:00+08:00,"{""product_name"":""颈部按摩仪"",""received_at"":""2026-01-05T15:50:00+08:00"",""returnable"":true}"
M2025011,O2025031,completed,189.00,CNY,2026-01-02T10:20:00+08:00,2026-01-02T10:21:00+08:00,2026-01-06T11:40:00+08:00,"{""product_name"":""USB 集线器"",""received_at"":""2026-01-06T11:40:00+08:00"",""returnable"":true}"
M2025012,O2025032,completed,729.00,CNY,2026-01-03T15:05:00+08:00,2026-01-03T15:06:00+08:00,2026-01-07T10:35:00+08:00,"{""product_name"":""平板电脑保护套"",""received_at"":""2026-01-07T10:35:00+08:00"",""returnable"":true}"
M2025013,O2025033,completed,249.00,CNY,2026-01-04T09:30:00+08:00,2026-01-04T09:31:00+08:00,2026-01-08T14:20:00+08:00,"{""product_name"":""蓝牙音箱"",""received_at"":""2026-01-08T14:20:00+08:00"",""returnable"":true}"
M2025014,O2025034,completed,319.00,CNY,2026-01-05T16:00:00+08:00,2026-01-05T16:01:00+08:00,2026-01-09T12:00:00+08:00,"{""product_name"":""护腰靠垫"",""received_at"":""2026-01-09T12:00:00+08:00"",""returnable"":true}"
M2025015,O2025035,completed,279.00,CNY,2026-01-06T11:30:00+08:00,2026-01-06T11:31:00+08:00,2026-01-10T15:10:00+08:00,"{""product_name"":""电动牙刷"",""received_at"":""2026-01-10T15:10:00+08:00"",""returnable"":false,""non_returnable_reason"":""opened_personal_care_item""}"
M2025016,O2025036,completed,1199.00,CNY,2026-01-07T14:15:00+08:00,2026-01-07T14:16:00+08:00,2026-01-11T16:50:00+08:00,"{""product_name"":""显示器"",""received_at"":""2026-01-11T16:50:00+08:00"",""returnable"":true}"
M2025017,O2025037,shipped,99.00,CNY,2026-01-18T17:20:00+08:00,2026-01-18T17:21:00+08:00,,"{""product_name"":""鼠标清洁套装"",""returnable"":true,""shipping_status"":""in_transit""}"
M2025018,O2025038,completed,649.00,CNY,2026-01-08T08:50:00+08:00,2026-01-08T08:51:00+08:00,2026-01-12T10:25:00+08:00,"{""product_name"":""空气炸锅"",""received_at"":""2026-01-12T10:25:00+08:00"",""returnable"":true}"
M2025019,O2025039,cancelled,459.00,CNY,2026-01-09T13:50:00+08:00,2026-01-09T13:51:00+08:00,,"{""product_name"":""智能门铃"",""returnable"":true,""cancellation_reason"":""membership_closed""}"
M2025020,O2025040,pending,129.00,CNY,2026-01-19T18:00:00+08:00,,,"{""product_name"":""桌面风扇"",""returnable"":true,""shipping_status"":""pending_payment""}"
